trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
580,False,"{'a': 0.05, 'e': 0.4936230884374264}",25,17,-9.731316224284049,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
581,False,"{'a': 0.05, 'e': 0.4920410444148859}",20,0,-199.14940139250714,"{0: 11, 1: 0, 2: 5, 3: 0, 4: 4}",0
582,False,"{'a': 0.05, 'e': 0.4904573738108286}",25,13,8.102058502524997,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
583,False,"{'a': 0.05, 'e': 0.4888720818605275}",20,5,-38.63344207199058,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 1}",1
584,False,"{'a': 0.05, 'e': 0.4872851738046161}",25,13,-4.456664847825421,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
585,False,"{'a': 0.05, 'e': 0.48569665488906955}",20,0,-7.24007854458367,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
586,False,"{'a': 0.05, 'e': 0.484106530365189}",20,16,8.003767536232646,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
587,False,"{'a': 0.05, 'e': 0.48251480548958264}",20,0,-56.64826250265356,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
588,False,"{'a': 0.05, 'e': 0.4809214855241498}",20,0,-2.6880462732385757,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
589,False,"{'a': 0.05, 'e': 0.47932657573606235}",20,0,-49.16571693869309,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",0
590,False,"{'a': 0.05, 'e': 0.4777300813977476}",35,16,-4.4930804777554165,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 0}",1
591,False,"{'a': 0.05, 'e': 0.4761320077868717}",30,14,-23.745063379390107,"{0: 13, 1: 0, 2: 2, 3: 1, 4: 0}",1
592,False,"{'a': 0.05, 'e': 0.4745323601863209}",30,6,-69.72805918927236,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 1}",1
593,False,"{'a': 0.05, 'e': 0.4729311438841852}",25,0,-11.811503146834726,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
594,False,"{'a': 0.05, 'e': 0.47132836417373997}",20,12,10.50667300568978,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
595,False,"{'a': 0.05, 'e': 0.46972402635342936}",25,13,8.1022434808292,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
596,False,"{'a': 0.05, 'e': 0.46811813572684763}",20,3,-5.686318587431416,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
597,False,"{'a': 0.05, 'e': 0.466510697602723}",25,10,-7.4413711807434675,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
598,False,"{'a': 0.05, 'e': 0.464901717294899}",20,0,-111.82375548973607,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",1
599,False,"{'a': 0.05, 'e': 0.463291200122317}",20,11,-5.944248891828556,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
600,False,"{'a': 0.05, 'e': 0.4616791514089997}",30,18,-34.883630103723384,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
601,False,"{'a': 0.05, 'e': 0.46006557648403185}",25,3,-35.15769401385954,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 0}",1
602,False,"{'a': 0.05, 'e': 0.45845048068154437}",35,11,23.173730276631836,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 0}",1
603,False,"{'a': 0.05, 'e': 0.4568338693406951}",20,10,6.975603499193326,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
604,False,"{'a': 0.05, 'e': 0.45521574780565266}",20,12,9.161012698114236,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
605,False,"{'a': 0.05, 'e': 0.4535961214255773}",25,16,-19.790165882557215,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 0}",1
606,False,"{'a': 0.05, 'e': 0.45197499555460474}",30,10,28.66718096238336,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
607,False,"{'a': 0.05, 'e': 0.45035237555182706}",25,6,-28.536694660990364,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 1}",1
608,False,"{'a': 0.05, 'e': 0.44872826678127564}",20,0,9.16388668621791,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
